City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,ahipara,-35.1667,173.1667,18.89,51,37,5.79,NZ,1680491573
275,riyadh,24.6877,46.7219,12.08,20,3,2.37,SA,1680491226
276,saint george,37.1041,-113.5841,19.03,27,0,3.09,US,1680491435
277,ostrovnoy,68.0531,39.5131,-11.2,93,95,3.55,RU,1680491574
278,acapulco,16.8634,-99.8901,27.9,69,0,2.57,MX,1680491575
279,yerbogachen,61.2767,108.0108,-5.76,87,100,5.43,RU,1680491575
280,tiksi,71.6872,128.8694,-6.66,81,100,10.72,RU,1680491576
281,saint-augustin,51.226,-58.6502,-1.29,87,33,7.18,CA,1680491576
282,hirara,24.8,125.2833,21.94,57,6,6.97,JP,1680491576
283,nongpoh,25.9,91.8833,22.76,61,33,1.16,IN,1680491576
284,udachnyy,66.4167,112.4,-4.75,73,48,10.43,RU,1680491577
285,qasigiannguit,68.8193,-51.1922,-18.86,89,74,1.88,GL,1680491577
286,tuatapere,-46.1333,167.6833,16.33,51,90,0.86,NZ,1680491577
287,taseyevo,57.2169,94.8978,-3.17,67,99,4.95,RU,1680491577
288,aripuana,-9.1667,-60.6333,21.7,98,80,1.75,BR,1680491577
289,rio branco do sul,-25.19,-49.3142,15.12,98,53,1.57,BR,1680491577
290,pisco,-13.7,-76.2167,24.03,88,40,4.63,PE,1680491578
291,gewane,10.1664,40.6453,23.81,68,43,0.91,ET,1680491578
292,zuwarah,32.9312,12.082,13.92,60,0,8.38,LY,1680491578
293,nizwa,22.9333,57.5333,23.8,18,54,2.13,OM,1680491525
294,eenhana,-17.4667,16.3333,18.6,75,16,2.41,NA,1680491578
295,juneau,58.3019,-134.4197,5.12,95,100,4.63,US,1680491579
296,acajutla,13.5928,-89.8275,26.62,72,92,4.45,SV,1680491579
297,damietta,31.4165,31.8133,16.51,75,0,4.15,EG,1680491579
298,touros,-5.1989,-35.4608,25.36,81,90,2.6,BR,1680491580
299,diego de almagro,-26.3667,-70.05,19.61,65,0,0.47,CL,1680491580
300,kaura namoda,12.5898,6.5779,24.23,12,14,3.92,NG,1680491580
301,goundi,9.3627,17.366,30.51,37,55,1.06,TD,1680491580
302,hulan,45.9833,126.6,14.81,40,100,9.55,CN,1680491581
303,lagoa,39.05,-27.9833,13.96,60,30,8.11,PT,1680491582
304,christchurch,-43.5333,172.6333,16.9,64,75,4.63,NZ,1680491407
305,luanda,-8.8368,13.2343,26.19,85,98,4.08,AO,1680491583
306,geraldton,-28.7667,114.6,25.23,65,92,8.23,AU,1680491584
307,broome,42.2506,-75.833,0.21,56,0,1.34,US,1680491585
308,hay river,60.8156,-115.7999,-14.79,97,60,0.37,CA,1680491559
309,kimbe,-5.5502,150.1429,30.24,71,71,2.01,PG,1680491586
310,plerin,48.5425,-2.7798,6.36,88,39,1.79,FR,1680491586
311,serebryansk,49.6925,83.2892,-6.74,77,21,2.38,KZ,1680491587
312,sulina,45.1559,29.6536,9.55,91,100,2.65,RO,1680491587
313,wolow,51.3366,16.6443,0.06,85,70,4.76,PL,1680491588
314,sibolga,1.7427,98.7792,25.78,85,100,0.45,ID,1680491588
315,husavik,66.0449,-17.3389,-0.71,82,68,4.84,IS,1680491589
316,moussoro,13.6408,16.4901,25.75,12,8,4.69,TD,1680491590
317,clyde river,70.4692,-68.5914,-27.8,96,12,1.67,CA,1680491590
318,lompoc,34.6391,-120.4579,11.12,80,75,7.2,US,1680491149
319,cap malheureux,-19.9842,57.6142,26.93,76,92,3.13,MU,1680491363
320,spasskoye,44.6108,132.7969,16.71,35,73,4.5,RU,1680491591
321,puerto del rosario,28.5004,-13.8627,17.86,82,75,4.12,ES,1680491320
322,doha,25.2867,51.5333,18.99,55,0,8.23,QA,1680490902
323,nipawin,53.3668,-104.0009,-9.99,92,100,4.87,CA,1680491592
324,cabedelo,-6.9811,-34.8339,25.37,76,89,2.86,BR,1680491593
325,tikrit,34.6071,43.6782,15.02,42,97,1.88,IQ,1680491594
326,airai,-8.9266,125.4092,23.69,49,100,0.84,TL,1680491594
327,zharkent,44.1628,80.0,6.88,22,0,4.48,KZ,1680491595
328,birin,26.8865,88.0718,16.41,53,1,1.32,NP,1680491595
329,saint paul,44.9444,-93.0933,3.46,80,0,4.12,US,1680491589
330,arvika,59.6553,12.5852,-3.66,91,99,0.87,SE,1680491596
331,mus,39.0,41.75,2.02,95,75,1.21,TR,1680491597
332,rodrigues alves,-7.738,-72.6509,21.69,99,90,1.17,BR,1680491598
333,tautira,-17.7333,-149.15,27.66,73,100,2.88,PF,1680491598
